==============================
MAPK@3 SCORE: 0.2390765095939903
trumpet MAPK@3: 0.19553805774278218 common guesses: [('trumpet', 72), ('dumbbell', 51), ('grass', 37)]
jacket MAPK@3: 0.1952232606438214 common guesses: [('jacket', 90), ('sweater', 66), ('eye', 37)]
submarine MAPK@3: 0.1942959001782531 common guesses: [('submarine', 48), ('cruise ship', 36), ('shark', 23)]
bridge MAPK@3: 0.19416666666666668 common guesses: [('bridge', 57), ('rifle', 40), ('speedboat', 34)]
basketball MAPK@3: 0.1923714759535655 common guesses: [('basketball', 72), ('soccer ball', 60), ('wheel', 55)]
radio MAPK@3: 0.19117647058823528 common guesses: [('radio', 51), ('stereo', 35), ('bicycle', 20)]
truck MAPK@3: 0.19035532994923857 common guesses: [('truck', 67), ('van', 66), ('pickup truck', 38)]
fireplace MAPK@3: 0.1902718168812589 common guesses: [('fireplace', 60), ('camera', 38), ('campfire', 32)]
bee MAPK@3: 0.18968692449355432 common guesses: [('bee', 47), ('camouflage', 26), ('hedgehog', 22)]
angel MAPK@3: 0.18888888888888888 common guesses: [('angel', 53), ('monkey', 17), ('airplane', 17)]
swan MAPK@3: 0.18786549707602337 common guesses: [('swan', 56), ('cannon', 32), ('waterslide', 28)]
broccoli MAPK@3: 0.18592964824120603 common guesses: [('broccoli', 48), ('mushroom', 42), ('tornado', 40)]
sink MAPK@3: 0.1853035143769968 common guesses: [('sink', 80), ('birthday cake', 49), ('toaster', 45)]
axe MAPK@3: 0.18369175627240142 common guesses: [('axe', 49), ('streetlight', 28), ('finger', 25)]
potato MAPK@3: 0.18184885290148448 common guesses: [('potato', 130), ('door', 101), ('cloud', 80)]
stove MAPK@3: 0.18 common guesses: [('stove', 49), ('oven', 41), ('calendar', 25)]
belt MAPK@3: 0.17711962833914052 common guesses: [('grass', 91), ('belt', 85), ('crocodile', 75)]
camel MAPK@3: 0.17307692307692304 common guesses: [('camel', 44), ('sheep', 19), ('anvil', 18)]
brain MAPK@3: 0.17209302325581396 common guesses: [('brain', 51), ('camouflage', 50), ('hurricane', 33)]
banana MAPK@3: 0.17207792207792208 common guesses: [('banana', 108), ('foot', 69), ('elbow', 63)]
horse MAPK@3: 0.16978776529338327 common guesses: [('horse', 63), ('cannon', 36), ('crab', 34)]
