Computing Distances
Distances Computed
==============================
('MAPK@3 SCORE:', 0.34546075386072739)
('duck', 'MAPK@3:', 0.30623973727422005, 'common guesses:', [('duck', 86), ('swan', 34), ('bird', 29)])
('cactus', 'MAPK@3:', 0.30471380471380471, 'common guesses:', [('cactus', 76), ('fire hydrant', 32), ('penguin', 23)])
('broccoli', 'MAPK@3:', 0.30402010050251255, 'common guesses:', [('broccoli', 85), ('tree', 44), ('mushroom', 42)])
('owl', 'MAPK@3:', 0.30326797385620907, 'common guesses:', [('owl', 105), ('pineapple', 45), ('penguin', 27)])
('belt', 'MAPK@3:', 0.30023228803716606, 'common guesses:', [('belt', 117), ('grass', 53), ('river', 37)])
('cow', 'MAPK@3:', 0.29639639639639637, 'common guesses:', [('cow', 83), ('zebra', 55), ('tiger', 47)])
('hedgehog', 'MAPK@3:', 0.29558011049723759, 'common guesses:', [('hedgehog', 68), ('brain', 24), ('camouflage', 17)])
('boomerang', 'MAPK@3:', 0.29439252336448596, 'common guesses:', [('boomerang', 89), ('rainbow', 46), ('drill', 29)])
('spider', 'MAPK@3:', 0.29405520169851385, 'common guesses:', [('spider', 129), ('sun', 48), ('crab', 30)])
('rain', 'MAPK@3:', 0.29290429042904292, 'common guesses:', [('rain', 93), ('animal migration', 37), ('knee', 31)])
('hurricane', 'MAPK@3:', 0.29248366013071897, 'common guesses:', [('hurricane', 86), ('tornado', 61), ('blackberry', 36)])
('skyscraper', 'MAPK@3:', 0.29106280193236711, 'common guesses:', [('skyscraper', 117), ('finger', 83), ('door', 58)])
('ceiling fan', 'MAPK@3:', 0.29094412331406549, 'common guesses:', [('ceiling fan', 77), ('chandelier', 19), ('airplane', 17)])
('trumpet', 'MAPK@3:', 0.29068241469816269, 'common guesses:', [('trumpet', 90), ('trombone', 29), ('dumbbell', 23)])
('wristwatch', 'MAPK@3:', 0.28825136612021862, 'common guesses:', [('wristwatch', 88), ('belt', 30), ('feather', 22)])
('stove', 'MAPK@3:', 0.28666666666666668, 'common guesses:', [('stove', 76), ('oven', 40), ('spreadsheet', 28)])
('lighthouse', 'MAPK@3:', 0.2863070539419087, 'common guesses:', [('lighthouse', 87), ('palm tree', 40), ('hand', 24)])
